city,population,include,migration_2020,unemployment_rate,median_income,median_age,summer_comfort_index,winter_comfort_index,cost_of_living_index,mean_commute_time,mean_school_expense,student_per_teacher,violent_crime_index,property_crime_index,sales_tax_rate,income_tax_rate,health_cost_index,water_quality_index,air_quality_index,white_percent,black_percent,asian_percent,native_american_percent,pacific_islander_percent,other_percent,multiple_percent,hispanic_percent,population_density,median_house_price
Aberdeen,16842,1,-0.036,0.088,39735,35.1,8.6,5.2,0.852,20.9,11269,17.4,33.7,71.9,0.089,0,0.833,0.52,0.75,0.702,0.003,0.015,0.035,0.01,0,0.042,0.193,1551,252800
Aberdeen Gardens,278,1,0.474,0.088,56607,46.5,8.6,5.2,0.89,25.8,11269,17.4,11.2,34,0.088,0,0.833,0.52,0.91,0.682,0,0.004,0,0,0,0.102,0.212,187,275800
Acme,108,1,-0.496,0.067,18072,27.8,9.1,5.3,1.08,21,11652,17.8,16.4,50,0.085,0,0.789,0.6,0.92,1,0,0,0,0,0,0,0,32,486500
Addy,45,1,-0.22,0.08,15764,44.8,8.7,4.1,0.965,27.8,10305,18.6,16.4,50,0.076,0,0.804,0.6,0.89,0.25,0,0,0.75,0,0,0,0,289,344800
Ahtanum,3906,1,-0.204,0.072,49087,37.1,9,5.1,0.946,18.9,9356,20.4,13,44.5,0.079,0,0.813,0.53,0.69,0.705,0.022,0.003,0.012,0,0,0.004,0.254,451,298300
Airway Heights,10108,1,0.378,0.063,37989,33.6,9.1,4,0.959,17.5,14570,18.5,8.6,65,0.09,0,0.82,0.38,0.68,0.663,0.058,0.056,0.037,0.003,0,0.077,0.106,1601,365500
Albion,580,1,0.312,0.048,40893,32.2,9,4.4,0.807,15.3,9247,21,10.7,32.7,0.078,0,0.825,0.27,0.87,0.898,0,0.005,0.032,0,0.009,0.034,0.022,1500,256700
Alder,189,1,-0.54,0.068,66450,29.7,9,5.1,1.27,31.2,12757,18.8,8.2,25.1,0.099,0,0.8,0.6,0.89,0.677,0,0,0,0,0,0.323,0,45,379900
Alderton,2610,1,0.151,0.068,63125,41.7,9.2,5.4,1.267,34.6,10690,21,11.8,40.2,0.099,0,0.8,0.6,0.54,0.859,0,0.01,0,0,0,0.022,0.109,673,380600
Alderwood Manor,10359,1,0.116,0.063,67917,37,9.2,5.4,1.339,30.1,10150,20.6,12.1,42.2,0.103,0,0.801,0.53,0.31,0.65,0.047,0.183,0.001,0.003,0,0.049,0.067,4780,560400
Alger,222,1,-0.052,0.07,62604,50.5,9.1,5.2,1.188,25.4,10413,18.9,9.6,28.6,0.085,0,0.791,0.52,0.81,0.774,0,0,0,0,0,0.226,0,97,424100
Algona,3271,1,0.103,0.054,57098,32.3,9.2,5.2,1.262,31.4,11739,19.3,7,31.9,0.1,0,0.817,0.6,0.31,0.6,0.051,0.103,0.008,0.003,0,0.043,0.192,2429,479100
Allyn,2363,1,0.919,0.077,67632,46.6,9.2,5.3,1.1,32.1,9733,18.3,8.9,27.5,0.085,0,0.811,0.5,0.77,0.934,0,0,0.007,0,0,0.013,0.046,1857,514500
Almira,296,1,-0.091,0.056,42045,42.7,9,4.4,0.808,24.3,31577,8.9,9.5,29.1,0.08,0,0.839,0.43,0.93,0.836,0.009,0.041,0,0,0,0.041,0.073,539,176100
Altoona,33,1,1,0.074,56250,64.8,8.7,5.1,0.992,0,10188,22.3,6.2,19,0.076,0,0.793,0.6,0.9,0.836,0,0,0.115,0,0,0.049,0,14,1611300
Amanda Park,84,1,-0.247,0.088,33750,34.8,8.7,4.4,0.912,25.8,24779,11.8,13.8,42.1,0.088,0,0.833,0.52,0.97,0.622,0,0,0.118,0,0,0.034,0.227,15,243800
Amboy,1832,1,0.599,0.062,49663,21.8,9,4.9,1.373,34.3,9498,19.3,9.2,28.1,0.077,0,0.776,0.47,0.82,0.977,0,0.004,0.002,0,0,0.006,0.009,221,620400
Ames Lake,1264,1,0.103,0.054,108988,42,9.2,5.3,1.771,29.1,9968,21.4,9.3,28.2,0.1,0,0.817,0.6,0.66,0.851,0.012,0.054,0,0.008,0.017,0.022,0.036,1020,902800
Anacortes,17437,1,0.048,0.07,59369,48.6,9,5.7,1.321,22.1,10007,20.6,8,43,0.085,0,0.791,0.52,0.63,0.895,0.005,0.026,0.008,0.001,0,0.024,0.041,1513,684400
Anderson Island,1564,1,0.425,0.068,45694,63.4,9.2,5.3,1.11,31.2,10711,20.4,8.1,25.2,0.079,0,0.8,0.6,0.75,0.939,0.012,0,0,0,0,0.021,0.028,180,455000
Arlington,19832,1,0.117,0.063,61131,38.1,9.1,5.3,1.243,29.5,9230,21.1,12.4,69.5,0.091,0,0.801,0.53,0.55,0.823,0.015,0.024,0.017,0.002,0,0.032,0.087,2150,586100
Arlington Heights,2774,1,0.357,0.063,72893,41.3,9.1,5.3,1.382,31.8,9230,21.1,8.3,25,0.103,0,0.801,0.53,0.81,0.978,0.001,0,0.004,0,0,0.017,0.001,363,551300
Artondale,14495,1,0.14,0.068,87850,44.4,9.3,5.5,1.432,27.5,9358,20.8,10.2,33.4,0.079,0,0.8,0.6,0.65,0.892,0.005,0.012,0.007,0.001,0.003,0.036,0.044,1045,682200
Ashford,657,1,-0.09,0.068,37275,60.5,8.8,4,1.008,31.2,12757,18.8,9.9,30.8,0.079,0,0.8,0.6,0.89,1,0,0,0,0,0,0,0,86,315900
Asotin,1072,1,0.33,0.045,53235,43.7,9,5,0.912,15.5,10400,16.9,10.2,28,0.077,0,0.811,0.33,0.87,0.925,0.007,0.005,0,0.004,0,0.042,0.016,1251,312300
